filename,width,height,class,xmin,ymin,xmax,ymax
gloves (1).jpeg,225,225,gloves,91,1,205,192
gloves (1).jpeg,225,225,gloves,19,58,104,203
gloves (10).jpeg,300,168,gloves,26,24,300,168
gloves (100).jpeg,612,408,gloves,106,134,534,324
gloves (101).jpeg,612,408,gloves,277,87,610,309
gloves (102).jpeg,612,408,gloves,136,62,418,333
gloves (103).jpeg,612,408,gloves,244,21,350,297
gloves (103).jpeg,612,408,gloves,335,248,506,385
gloves (104).jpeg,612,408,gloves,4,108,164,407
gloves (104).jpeg,612,408,gloves,461,98,612,408
gloves (105).jpeg,612,437,gloves,102,20,238,152
gloves (105).jpeg,612,437,gloves,417,20,513,143
gloves (105).jpeg,612,437,gloves,91,204,302,353
gloves (105).jpeg,612,437,gloves,324,211,463,359
gloves (105).jpeg,612,437,gloves,465,291,605,394
gloves (106).jpeg,612,408,gloves,3,31,527,394
gloves (107).jpeg,800,533,gloves,213,192,372,401
gloves (107).jpeg,800,533,gloves,459,265,678,525
gloves (108).jpeg,800,533,gloves,459,330,591,474
gloves (108).jpeg,800,533,gloves,202,384,319,451
gloves (109).jpeg,800,534,gloves,308,1,530,231
gloves (109).jpeg,800,534,gloves,204,336,391,534
gloves (11).jpeg,310,162,gloves,54,2,259,158
gloves (110).jpeg,800,534,gloves,88,177,309,358
gloves (110).jpeg,800,534,gloves,515,173,756,388
gloves (111).jpeg,800,568,gloves,151,107,370,393
gloves (112).jpeg,800,533,gloves,75,268,303,506
gloves (112).jpeg,800,533,gloves,491,256,764,515
gloves (113).jpeg,800,600,gloves,458,204,682,502
gloves (114).jpeg,800,533,gloves,217,109,383,331
gloves (114).jpeg,800,533,gloves,218,314,381,482
gloves (115).jpeg,800,533,gloves,436,80,585,304
gloves (115).jpeg,800,533,gloves,386,303,523,424
gloves (116).jpeg,800,533,gloves,265,1,771,533
gloves (117).jpeg,800,551,gloves,323,287,656,551
gloves (117).jpeg,800,551,gloves,81,323,273,551
gloves (118).jpeg,800,522,gloves,129,254,328,484
gloves (119).jpeg,800,335,gloves,290,58,522,335
gloves (12).jpeg,225,225,gloves,6,22,63,151
gloves (12).jpeg,225,225,gloves,66,20,123,154
gloves (120).jpeg,600,900,gloves,251,601,482,845
gloves (120).jpeg,600,900,gloves,105,614,310,874
gloves (121).jpeg,800,533,gloves,267,290,418,453
gloves (122).jpeg,800,600,gloves,490,322,723,474
gloves (122).jpeg,800,600,gloves,380,371,516,537
gloves (123).jpeg,800,533,gloves,182,144,331,326
gloves (123).jpeg,800,533,gloves,198,331,407,434
gloves (124).jpeg,800,534,gloves,120,247,323,483
gloves (124).jpeg,800,534,gloves,503,230,700,492
gloves (125).jpeg,800,600,gloves,21,195,388,360
gloves (125).jpeg,800,600,gloves,430,183,795,384
gloves (126).jpeg,800,600,gloves,533,140,775,552
gloves (127).jpeg,225,225,gloves,3,17,118,205
gloves (127).jpeg,225,225,gloves,121,19,225,210
gloves (128).jpeg,225,225,gloves,4,17,199,135
gloves (128).jpeg,225,225,gloves,65,86,222,196
gloves (129).jpeg,225,225,gloves,70,29,210,201
gloves (129).jpeg,225,225,gloves,17,14,153,204
gloves (13).jpeg,225,225,gloves,77,43,189,208
gloves (13).jpeg,225,225,gloves,25,14,130,181
gloves (130).jpeg,225,225,gloves,3,2,128,169
gloves (130).jpeg,225,225,gloves,131,128,224,220
gloves (131).jpeg,225,225,gloves,4,6,194,125
gloves (131).jpeg,225,225,gloves,39,64,210,216
gloves (132).jpeg,275,183,gloves,27,28,135,93
gloves (132).jpeg,275,183,gloves,106,60,217,173
gloves (133).jpeg,210,240,gloves,63,44,185,174
gloves (133).jpeg,210,240,gloves,32,36,128,176
gloves (134).jpeg,208,243,gloves,5,11,121,243
gloves (134).jpeg,208,243,gloves,80,1,206,243
gloves (135).jpeg,225,225,gloves,49,45,212,167
gloves (135).jpeg,225,225,gloves,17,38,129,211
gloves (136).jpeg,100,100,gloves,1,5,53,100
gloves (136).jpeg,100,100,gloves,51,3,95,95
gloves (137).jpeg,100,100,gloves,10,1,100,58
gloves (137).jpeg,100,100,gloves,3,37,89,91
gloves (138).jpeg,225,225,gloves,93,43,223,146
gloves (138).jpeg,225,225,gloves,13,73,127,213
gloves (138).jpeg,225,225,gloves,54,22,113,82
gloves (139).jpeg,100,100,gloves,34,5,100,93
gloves (139).jpeg,100,100,gloves,2,30,53,89
gloves (14).jpeg,256,197,gloves,10,15,113,178
gloves (14).jpeg,256,197,gloves,125,17,245,191
gloves (140).jpeg,301,167,gloves,22,22,200,126
gloves (140).jpeg,301,167,gloves,179,17,291,160
gloves (141).jpeg,225,225,gloves,10,30,168,212
gloves (141).jpeg,225,225,gloves,90,24,206,224
gloves (142).jpeg,271,186,gloves,5,5,164,103
gloves (142).jpeg,271,186,gloves,149,70,271,180
gloves (143).jpeg,225,225,gloves,84,3,212,115
gloves (143).jpeg,225,225,gloves,27,130,116,214
gloves (144).jpeg,222,227,gloves,2,14,181,223
gloves (144).jpeg,222,227,gloves,34,1,222,221
gloves (145).jpeg,225,225,gloves,58,11,200,177
gloves (146).jpeg,225,225,gloves,74,11,153,107
gloves (146).jpeg,225,225,gloves,119,136,186,219
gloves (147).jpeg,225,225,gloves,36,33,192,206
gloves (147).jpeg,225,225,gloves,73,34,165,166
gloves (148).jpeg,100,100,gloves,1,3,100,86
gloves (149).jpeg,267,189,gloves,15,12,155,153
gloves (149).jpeg,267,189,gloves,172,95,267,176
gloves (15).jpeg,225,225,gloves,3,21,186,130
gloves (15).jpeg,225,225,gloves,92,86,222,172
gloves (150).jpeg,264,191,gloves,16,31,112,108
gloves (150).jpeg,264,191,gloves,88,77,204,164
gloves (151).jpeg,300,168,gloves,116,1,288,168
gloves (151).jpeg,300,168,gloves,1,1,147,158
gloves (152).jpeg,388,130,gloves,225,2,293,100
gloves (152).jpeg,388,130,gloves,291,1,362,102
gloves (153).jpeg,222,227,gloves,79,7,222,185
gloves (153).jpeg,222,227,gloves,3,147,85,227
gloves (154).jpeg,275,183,gloves,148,4,263,73
gloves (154).jpeg,275,183,gloves,200,56,274,128
gloves (155).jpeg,225,225,gloves,1,2,124,225
gloves (155).jpeg,225,225,gloves,128,53,213,225
gloves (156).jpeg,225,225,gloves,42,1,211,225
gloves (157).jpeg,256,197,gloves,94,39,240,181
gloves (157).jpeg,256,197,gloves,25,18,188,169
gloves (158).jpeg,225,225,gloves,154,42,223,190
gloves (158).jpeg,225,225,gloves,116,36,175,185
gloves (158).jpeg,225,225,gloves,78,34,140,183
gloves (158).jpeg,225,225,gloves,40,38,103,184
gloves (158).jpeg,225,225,gloves,2,38,70,185
gloves (159).jpeg,256,197,gloves,52,23,205,181
gloves (16).jpeg,309,163,gloves,30,86,92,145
gloves (16).jpeg,309,163,gloves,117,94,169,148
gloves (16).jpeg,309,163,gloves,194,103,236,156
gloves (16).jpeg,309,163,gloves,262,117,290,155
gloves (160).jpeg,277,182,gloves,6,4,226,182
gloves (161).jpeg,218,231,gloves,50,15,160,207
gloves (162).jpeg,310,162,gloves,1,39,163,162
gloves (162).jpeg,310,162,gloves,169,41,310,162
gloves (163).jpeg,225,225,gloves,47,20,187,208
gloves (164).jpeg,274,184,gloves,47,36,130,131
gloves (164).jpeg,274,184,gloves,82,119,159,184
gloves (165).jpeg,306,165,gloves,57,57,232,151
gloves (165).jpeg,306,165,gloves,70,11,153,75
gloves (166).jpeg,301,167,gloves,1,5,295,141
gloves (167).jpeg,200,252,gloves,1,25,198,180
gloves (167).jpeg,200,252,gloves,61,136,200,252
gloves (168).jpeg,100,100,gloves,15,9,82,81
gloves (169).jpeg,290,174,gloves,101,1,233,102
gloves (169).jpeg,290,174,gloves,55,107,123,174
gloves (17).jpeg,194,259,gloves,2,2,157,211
gloves (17).jpeg,194,259,gloves,67,195,158,259
gloves (170).jpeg,300,168,gloves,31,1,242,161
gloves (170).jpeg,300,168,gloves,60,93,274,168
gloves (171).jpeg,299,168,gloves,54,33,164,139
gloves (171).jpeg,299,168,gloves,146,1,295,119
gloves (172).jpeg,275,183,gloves,121,24,260,161
gloves (173).jpeg,224,224,gloves,63,50,222,205
gloves (173).jpeg,224,224,gloves,6,4,132,164
gloves (174).jpeg,225,225,gloves,7,10,166,111
gloves (174).jpeg,225,225,gloves,152,128,213,174
gloves (175).jpeg,266,190,gloves,148,60,251,108
gloves (175).jpeg,266,190,gloves,96,89,171,152
gloves (176).jpeg,225,225,gloves,72,87,181,207
gloves (176).jpeg,225,225,gloves,43,80,133,210
gloves (177).jpeg,344,147,gloves,166,45,222,147
gloves (177).jpeg,344,147,gloves,77,98,196,147
gloves (178).jpeg,225,225,gloves,60,22,187,201
gloves (179).jpeg,100,100,gloves,47,1,81,60
gloves (18).jpeg,275,183,gloves,48,32,138,146
gloves (18).jpeg,275,183,gloves,137,30,226,146
gloves (180).jpeg,225,225,gloves,9,50,189,121
gloves (180).jpeg,225,225,gloves,37,82,215,176
gloves (181).jpeg,420,120,gloves,134,1,277,120
gloves (181).jpeg,420,120,gloves,3,19,138,110
gloves (182).jpeg,225,225,gloves,54,27,175,199
gloves (183).jpeg,100,100,gloves,11,17,93,83
gloves (184).jpeg,201,251,gloves,13,66,98,234
gloves (184).jpeg,201,251,gloves,108,65,194,231
gloves (185).jpeg,260,194,gloves,15,13,244,164
gloves (186).jpeg,312,162,gloves,162,89,246,162
gloves (186).jpeg,312,162,gloves,83,103,155,162
gloves (187).jpeg,255,198,gloves,97,35,223,198
gloves (187).jpeg,255,198,gloves,34,40,156,198
gloves (188).jpeg,225,225,gloves,19,13,204,210
gloves (189).jpeg,235,214,gloves,96,10,225,133
gloves (189).jpeg,235,214,gloves,5,107,87,181
gloves (19).jpeg,275,183,gloves,148,29,273,136
gloves (19).jpeg,275,183,gloves,75,86,159,164
gloves (190).jpeg,262,192,gloves,63,17,251,144
gloves (190).jpeg,262,192,gloves,17,61,200,162
gloves (191).jpeg,269,187,gloves,115,43,263,152
gloves (191).jpeg,269,187,gloves,14,82,131,187
gloves (192).jpeg,300,168,gloves,47,1,156,168
gloves (192).jpeg,300,168,gloves,158,5,260,168
gloves (193).jpeg,225,225,gloves,37,9,157,218
gloves (194).jpeg,262,193,gloves,37,86,176,193
gloves (195).jpeg,262,192,gloves,23,7,132,169
gloves (195).jpeg,262,192,gloves,133,8,231,167
gloves (196).jpeg,290,174,gloves,199,5,251,56
gloves (196).jpeg,290,174,gloves,245,5,287,57
gloves (197).jpeg,218,231,gloves,30,8,161,175
gloves (198).jpeg,253,199,gloves,1,1,249,197
gloves (199).jpeg,225,225,gloves,76,4,225,194
gloves (199).jpeg,225,225,gloves,86,144,171,225
gloves (2).jpeg,243,208,gloves,1,10,119,169
gloves (2).jpeg,243,208,gloves,50,23,192,193
gloves (20).jpeg,286,176,gloves,1,1,285,172
gloves (200).jpeg,230,219,gloves,43,68,208,219
gloves (200).jpeg,230,219,gloves,24,18,129,143
gloves (201).jpeg,100,183,gloves,1,18,99,179
gloves (202).jpeg,225,225,gloves,8,19,110,207
gloves (202).jpeg,225,225,gloves,116,14,222,205
gloves (203).jpeg,225,225,gloves,53,19,183,198
gloves (204).jpeg,256,197,gloves,48,37,217,146
gloves (205).jpeg,239,210,gloves,42,4,197,202
gloves (207).jpeg,225,225,gloves,66,44,225,203
gloves (207).jpeg,225,225,gloves,43,18,149,210
gloves (208).jpeg,260,193,gloves,8,11,117,138
gloves (208).jpeg,260,193,gloves,113,113,260,193
gloves (209).jpeg,225,225,gloves,9,25,225,203
gloves (21).jpeg,225,225,gloves,57,10,157,220
gloves (210).jpeg,300,168,gloves,68,29,289,146
gloves (210).jpeg,300,168,gloves,1,16,76,93
gloves (211).jpeg,318,159,gloves,83,34,248,147
gloves (211).jpeg,318,159,gloves,255,64,318,159
gloves (212).jpeg,467,108,gloves,246,1,342,92
gloves (212).jpeg,467,108,gloves,349,46,430,108
gloves (213).jpeg,225,225,gloves,20,13,112,216
gloves (213).jpeg,225,225,gloves,114,17,205,208
gloves (214).jpeg,225,225,gloves,9,62,151,186
gloves (214).jpeg,225,225,gloves,120,47,220,170
gloves (215).jpeg,225,225,gloves,4,13,216,199
gloves (216).jpeg,225,225,gloves,30,9,135,148
gloves (216).jpeg,225,225,gloves,46,53,216,211
gloves (217).jpeg,225,225,gloves,4,32,111,218
gloves (217).jpeg,225,225,gloves,111,28,217,216
gloves (218).jpeg,194,259,gloves,17,115,194,241
gloves (219).jpeg,275,183,gloves,79,47,218,154
gloves (22).jpeg,225,225,gloves,22,53,209,223
gloves (22).jpeg,225,225,gloves,53,5,209,105
gloves (220).jpeg,265,190,gloves,47,24,170,149
gloves (220).jpeg,265,190,gloves,92,22,198,101
gloves (221).jpeg,275,183,gloves,111,48,135,119
gloves (221).jpeg,275,183,gloves,132,107,164,146
gloves (222).jpeg,243,207,gloves,26,20,218,177
gloves (223).jpeg,225,225,gloves,27,92,206,218
gloves (224).jpeg,261,193,gloves,1,4,256,193
gloves (225).jpeg,182,277,gloves,19,15,111,135
gloves (225).jpeg,182,277,gloves,61,128,171,248
gloves (226).jpeg,225,225,gloves,39,18,139,200
gloves (226).jpeg,225,225,gloves,100,24,188,208
gloves (227).jpeg,200,200,gloves,8,10,172,180
gloves (228).jpeg,225,225,gloves,16,9,202,208
gloves (229).jpeg,201,251,gloves,1,69,102,177
gloves (23).jpeg,224,224,gloves,36,4,193,207
gloves (230).jpeg,251,201,gloves,2,2,89,142
gloves (230).jpeg,251,201,gloves,86,74,206,180
gloves (231).jpeg,275,183,gloves,1,49,43,126
gloves (231).jpeg,275,183,gloves,50,53,86,128
gloves (231).jpeg,275,183,gloves,97,49,136,130
gloves (231).jpeg,275,183,gloves,144,49,178,123
gloves (231).jpeg,275,183,gloves,192,51,226,124
gloves (231).jpeg,275,183,gloves,231,50,272,128
gloves (232).jpeg,225,225,gloves,115,51,185,156
gloves (233).jpeg,225,225,gloves,37,31,185,205
gloves (234).jpeg,225,225,gloves,7,7,216,208
gloves (235).jpeg,224,224,gloves,35,39,201,152
gloves (235).jpeg,224,224,gloves,110,90,193,216
gloves (236).jpeg,225,225,gloves,67,63,114,161
gloves (236).jpeg,225,225,gloves,108,63,154,163
gloves (237).jpeg,225,225,gloves,12,22,179,139
gloves (237).jpeg,225,225,gloves,75,108,225,176
gloves (238).jpeg,224,225,gloves,13,4,104,57
gloves (238).jpeg,224,225,gloves,124,4,189,54
gloves (238).jpeg,224,225,gloves,138,71,183,98
gloves (238).jpeg,224,225,gloves,53,68,110,126
gloves (238).jpeg,224,225,gloves,1,89,46,143
gloves (238).jpeg,224,225,gloves,32,133,103,187
gloves (238).jpeg,224,225,gloves,1,186,33,212
gloves (238).jpeg,224,225,gloves,143,152,186,202
gloves (239).jpeg,300,168,gloves,51,5,293,153
gloves (24).jpeg,251,201,gloves,51,7,162,153
gloves (241).jpeg,225,225,gloves,11,5,163,166
gloves (241).jpeg,225,225,gloves,28,64,212,225
gloves (242).jpeg,225,225,gloves,122,15,219,218
gloves (243).jpeg,188,268,gloves,14,26,65,193
gloves (243).jpeg,188,268,gloves,74,18,175,215
gloves (244).jpeg,280,180,gloves,1,46,72,180
gloves (244).jpeg,280,180,gloves,208,53,280,180
gloves (246).jpeg,224,224,gloves,11,19,105,208
gloves (246).jpeg,224,224,gloves,116,20,204,207
gloves (247).jpeg,275,183,gloves,5,57,77,171
gloves (247).jpeg,275,183,gloves,213,65,275,173
gloves (248).jpeg,225,225,gloves,8,7,162,188
gloves (248).jpeg,225,225,gloves,81,55,220,225
gloves (249).jpeg,275,183,gloves,91,27,132,136
gloves (249).jpeg,275,183,gloves,133,28,166,139
gloves (25).jpeg,225,225,gloves,26,45,198,172
gloves (250).jpeg,225,225,gloves,12,56,202,206
gloves (251).jpeg,251,201,gloves,51,1,116,197
gloves (251).jpeg,251,201,gloves,114,32,230,201
gloves (252).jpeg,197,255,gloves,73,6,183,176
gloves (252).jpeg,197,255,gloves,30,136,117,242
gloves (253).jpeg,207,243,gloves,3,2,107,235
gloves (253).jpeg,207,243,gloves,93,10,200,236
